order_id,created_at_utc,channel,amount_cents,status,deleted_at,customer_region
ORD-000001,2025-06-11T19:07:14Z,partner,55187,cancelled,,CA
ORD-000002,2025-08-19T14:31:49Z,web,33161,active,,US-W
ORD-000003,2025-01-13T17:35:17Z,mobile,44156,completed,,US-C
ORD-000004,2025-09-11T14:57:00Z,partner,2297,refunded,,CA
ORD-000005,2025-03-08T23:38:19Z,web,17032,cancelled,,US-E
ORD-000006,2025-05-18T17:59:49Z,mobile,76602,completed,,US-W
ORD-000007,2025-01-15T16:34:45Z,partner,31407,completed,2025-01-20T22:34:45Z,CA
ORD-000008,2025-07-14T16:45:13Z,mobile,11615,completed,,CA
ORD-000009,2025-12-04T21:53:00Z,web,88437,cancelled,,US-E
ORD-000010,2025-11-11T18:07:47Z,web,58536,active,,CA
ORD-000011,2025-09-28T18:09:00Z,partner,57922,active,,US-W
ORD-000012,2025-08-18T18:50:33Z,partner,35272,refunded,,US-C
ORD-000013,2025-11-01T22:46:50Z,mobile,54286,completed,,CA
ORD-000014,2025-04-24T19:14:20Z,partner,60085,active,,US-W
ORD-000015,2025-01-06T19:00:16Z,web,26800,completed,,CA
ORD-000016,2025-04-19T19:36:34Z,partner,84192,active,,US-C
ORD-000017,2025-01-28T22:00:44Z,web,3815,cancelled,,US-W
ORD-000018,2025-07-01T20:38:54Z,mobile,13393,refunded,,US-W
ORD-000019,2025-11-10T22:35:33Z,mobile,77058,cancelled,,US-W
ORD-000020,2025-02-24T16:32:48Z,mobile,59022,active,,CA
ORD-000021,2025-12-31T19:25:53Z,partner,19134,refunded,,CA
ORD-000022,2025-10-05T14:41:25Z,mobile,72663,cancelled,,CA
ORD-000023,2025-12-13T18:41:49Z,legacy_pos,15921,cancelled,,US-W
ORD-000024,2025-04-02T21:44:52Z,mobile,80099,cancelled,,US-C
ORD-000025,2025-09-11T15:37:56Z,mobile,82786,completed,,US-W
ORD-000026,2025-08-08T18:07:19Z,web,26718,cancelled,,US-W
ORD-000027,2025-03-14T15:28:22Z,mobile,48330,refunded,,CA
