entry_id,order_id,business_date,amount_usd,currency,batch_id
LE-0000001,ORD-001127,2025-02-08,596.00,USD,B001
LE-0000002,ORD-006256,2025-06-04,171.32,USD,B002
LE-0000003,ORD-007504,2025-08-02,197.98,USD,B003
LE-0000004,ORD-006771,2025-06-21,772.55,USD,B004
LE-0000005,ORD-010950,2025-02-14,304.05,USD,B005
LE-0000006,ORD-003784,2025-06-14,715.88,USD,B006
LE-0000007,ORD-008156,2025-06-21,655.31,USD,B007
LE-0000008,ORD-002804,2025-02-16,795.63,USD,B008
LE-0000009,ORD-006356,2025-03-04,31.46,USD,B009
LE-0000010,ORD-007947,2025-09-07,429.36,USD,B010
LE-0000011,ORD-008791,2025-08-06,30.10,USD,B011
LE-0000012,ORD-011478,2025-09-11,641.68,USD,B012
LE-0000013,ORD-006220,2025-10-16,643.19,USD,B013
LE-0000014,ORD-001961,2025-11-24,652.71,USD,B014
LE-0000015,ORD-005011,2025-06-09,682.32,USD,B015
LE-0000016,ORD-002938,2025-12-19,355.65,USD,B016
LE-0000017,ORD-006896,2025-02-08,225.17,USD,B017
LE-0000018,ORD-009447,2025-03-21,557.49,USD,B018
LE-0000019,ORD-003891,2025-03-05,409.18,USD,B019
LE-0000020,ORD-000108,2025-09-30,396.41,USD,B020
LE-0000021,ORD-006089,2025-07-28,38.00,USD,B021
LE-0000022,ORD-005449,2025-04-03,201.90,USD,B022
LE-0000023,ORD-004856,2025-04-19,342.41,USD,B023
LE-0000024,ORD-003969,2025-06-27,791.43,USD,B024
LE-0000025,ORD-007009,2025-09-09,390.72,USD,B025
LE-0000026,ORD-003459,2025-07-08,748.00,USD,B026
LE-0000027,ORD-006908,2025-09-08,713.86,USD,B027
LE-0000028,ORD-009571,2025-03-05,151.18,USD,B028
LE-0000029,ORD-000288,2025-04-24,829.20,USD,B029
LE-0000030,ORD-001160,2025-02-16,612.92,USD,B030
LE-0000031,ORD-007161,2025-06-30,160.21,USD,B031
LE-0000032,ORD-000720,2025-05-11,351.85,USD,B032
LE-0000033,ORD-009978,2025-04-23,569.05,USD,B033
LE-0000034,ORD-010379,2025-07-22,243.20,USD,B034
LE-0000035,ORD-007698,2025-05-03,844.30,USD,B035
LE-0000036,ORD-000643,2025-07-12,728.58,USD,B036
LE-0000037,ORD-010589,2025-06-07,300.03,USD,B037
LE-0000038,ORD-006521,2025-03-07,484.59,USD,B038
LE-0000039,ORD-002352,2025-12-27,470.91,USD,B039
LE-0000040,ORD-003904,2025-08-11,380.43,USD,B040
LE-0000041,ORD-000839,2025-07-19,189.61,USD,B041
LE-0000042,ORD-005752,2025-01-05,93.29,USD,B042
LE-0000043,ORD-003559,2025-05-04,519.24,USD,B043
LE-0000044,ORD-002167,2025-03-08,888.98,USD,B044
LE-0000045,ORD-006807,2025-02-01,508.98,USD,B045
LE-0000046,ORD-000116,2025-05-10,688.39,USD,B046
LE-0000047,ORD-008221,2025-11-08,351.92,USD,B047
LE-0000048,ORD-008647,2025-01-31,309.88,USD,B048
LE-0000049,ORD-005240,2025-05-19,100.67,USD,B049
LE-0000050,ORD-003276,2025-04-24,653.00,USD,B050
LE-0000051,ORD-009616,2025-12-19,203.54,USD,B051
LE-0000052,ORD-004799,2025-01-23,35.05,USD,B052
LE-0000053,ORD-003358,2025-10-28,323.03,USD,B053
LE-0000054,ORD-010264,2025-07-17,635.34,USD,B054
LE-0000055,ORD-001987,2025-03-11,854.93,USD,B055
LE-0000056,ORD-009535,2025-04-27,265.88,USD,B056
LE-0000057,ORD-001997,2025-10-15,699.06,USD,B057
